Cartagena de Indias,Rafael Núñez International Airport,CTG,10.446315,-75.516454
Casablanca,Mohammed V International Airport,CMN,33.3734949,-7.5811276
Catania,Fontanarossa Airport,CTA,37.4673046,15.0657746
Cayenne,Cayenne-Rochambeau Airport,CAY,4.8222247,-52.3638975
Cayman Brac,Charles Kirkconnell International Airport,CYB,19.690191,-79.87941
Cayo Coco,Jardines del Rey Airport,CCC,22.461558,-78.327313
Cayo Largo del Sur,Vilo Acuña Airport,CYO,21.6232058,-81.5536903
Cephalonia,Kefalonia Island International Airport,EFL,38.1195493,20.5049424
Chambéry,Chambéry-Savoie Airport,CMF,45.6380195,5.8839137
Chandigarh,Chandigarh International Airport,IXC,30.6677661,76.7862287
Changchun,Changchun Longjia International Airport,CGQ,43.995219,125.697045
Changsha,Changsha Huanghua International Airport,CSX,28.1966667,113.2208333
Changzhou,Changzhou Benniu Airport,CZX,31.912048,119.783935
Chania,Chania International Airport,CHQ,35.5398097,24.1404043
Charleston,Charleston International Airport,CHS,32.8942676,-80.038159
Charlotte,Charlotte/Douglas International Airport,CLT,35.2144026,-80.9473146
Cheboksary,Cheboksary Airport,CSY,56.0827338,47.3202005
Chelyabinsk,Chelyabinsk Airport,CEK,55.3044113,61.503711
Chengdu,Chengdu Shuangliu International Airport,CTU,30.567456,103.9492936
Chennai,Chennai International Airport,MAA,12.994112,80.1708668
Cheongju,Cheongju International Airport,CJJ,36.7219769,127.495889
Cherepovets,Cherepovets Airport,CEE,59.2803719,38.0167984
Chernivtsi,Chernivtsi International Airport,CWC,48.266855,25.967217
Chiang Mai,Chiang Mai International Airport,CNX,18.767749,98.9640088
Chiang Rai (city),Mae Fah Luang International Airport,CEI,19.95437,99.8790137
Chicago,Chicago Midway International Airport,MDW,41.7867759,-87.7521884
Chicago,O'Hare International Airport,ORD,41.9741625,-87.9073214
Chihuahua City,Roberto Fierro Villalobos International Airport,CUU,28.7040064,-105.96896
Chios,Chios Island National Airport,JKH,38.3453933,26.1425366
Chita,Kadala Airport,HTA,52.0218937,113.307066
Chitral,Chitral Airport,CJL,35.886111,71.799722
Chittagong,Shah Amanat International Airport,CGP,22.2456982,91.8146787
Chişinău,Chişinău International Airport,KIV,46.935168,28.935516
Chlef,Chlef International Airport,CFK,36.2174437,1.3247069
Chongqing,Chongqing Jiangbei International Airport,CKG,29.7191667,106.6416667
Christ Church,Grantley Adams International Airport,BGI,13.0765848,-59.4877921
Christchurch,Christchurch International Airport,CHC,-43.4863981,172.5368705
Christmas Island,Christmas Island Airport,XCH,-10.4514206,105.6883944
Chub Cay,Chub Cay International Airport,CCZ,25.4186961,-77.8850221
Chuuk State,Chuuk International Airport,TKK,7.4622469,151.8433251
Châlons-en-Champagne,Châlons Vatry Airport,XCR,48.7807544,4.1892772
Cienfuegos,Jaime González Airport,CFG,22.15,-80.413887
